Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",3,4.07,Portfolio,Kindle Edition,302,2019,2019,,2019/05/17,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",3,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2019/05/06,2019/05/03,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",3,4.18,Random House,Hardcover,372,2018,2018,2019/01/17,2018/12/24,,,read,,,,1,0
41134546,Dit was het nieuws niet,Rob Wijnberg,"Wijnberg, Rob","Cléa Dieudonné, Maurits Martijn","=""9082821664""","=""9789082821666""",3,3.87,De Correspondent Uitgevers,Paperback,272,2018,2018,,2019/03/15,,,read,,,,1,0
31706504,Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,"Barker, Eric",,"=""0062416170""","=""9780062416179""",3,4.11,HarperOne,ebook,224,2017,2017,,2019/03/20,,,read,,,,1,0
10639,The Paradox of Choice: Why More Is Less,Barry Schwartz,"Schwartz, Barry",,"=""0060005696""","=""9780060005696""",5,3.84,Harper Perennial,Paperback,265,2005,2004,,2019/03/08,,,read,,,,1,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",4,4.29,Harper,Hardcover,272,2018,2018,,2019/03/25,,,read,,,,2,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",4,4.03,Simon & Schuster,Hardcover,335,2018,2018,2019/03/13,2019/03/08,,,read,,,,1,0
18693669,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,"Levitin, Daniel J.",,"=""052595418X""","=""9780525954187""",2,3.66,Dutton,Hardcover,528,2014,2014,2019/05/01,2019/03/25,,,read,,,,1,0
41568646,"Het bestverkochte boek ooit (met deze titel): Hoe cijfers ons leiden, verleiden en misleiden",Sanne Blauw,"Blauw, Sanne",,"=""9082821648""","=""9789082821642""",0,3.70,De Correspondent Uitgevers ,Paperback,192,2018,2018,2018/12/16,2018/12/15,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,3.98,Signet Classics,Mass Market Paperback,141,1996,1945,2018/11/27,2018/11/22,,,read,,,,1,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.13,Random House,Hardcover,375,2012,2012,,2018/11/25,,,read,,,,1,0
18749571,De cirkel,Dave Eggers,"Eggers, Dave","Lidwien Biekman, Gerda Baardman, Brenda Mudde, Elles Tukker","=""904881863X""","=""9789048818631""",0,3.44,Lebowski,Paperback,445,2013,2013,2018/11/22,2018/08/28,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2018/08/28,,,read,,,,1,0
